Card,Winners
1,0
2,10
3,10
4,9
5,0
6,8
7,7
8,3
9,1
10,9
11,0
12,2
13,0
14,0
15,4
16,1
17,1
18,3
19,0
20,0
21,0
22,10
23,1
24,3
25,0
26,7
27,6
28,8
29,7
30,3
31,3
32,4
33,1
34,0
35,1
36,0
37,9
38,1
39,10
40,3
41,5
42,2
43,6
44,2
45,1
46,0
47,4
48,2
49,2
50,1
51,0
52,10
53,7
54,1
55,10
56,10
57,10
58,5
59,0
60,5
61,8
62,2
63,5
64,10
65,1
66,2
67,5
68,5
69,6
70,5
71,0
72,0
73,1
74,0
75,0
76,10
77,10
78,1
79,10
80,3
81,10
82,0
83,10
84,4
85,10
86,3
87,1
88,7
89,6
90,10
91,1
92,8
93,4
94,0
95,3
96,3
97,3
98,0
99,0
100,0
101,6
102,10
103,3
104,10
105,1
106,0
107,10
108,7
109,8
110,1
111,3
112,2
113,2
114,2
115,2
116,1
117,0
118,6
119,10
120,1
121,7
122,4
123,10
124,2
125,5
126,3
127,8
128,0
129,7
130,0
131,2
132,3
133,1
134,2
135,0
136,0
137,10
138,4
139,7
140,4
141,8
142,9
143,2
144,10
145,10
146,0
147,7
148,0
149,3
150,5
151,7
152,6
153,6
154,5
155,4
156,3
157,0
158,0
159,0
160,7
161,10
162,10
163,10
164,10
165,10
166,5
167,10
168,3
169,4
170,10
171,8
172,4
173,10
174,9
175,9
176,4
177,1
178,3
179,3
180,0
181,1
182,2
183,1
184,0
185,10
186,8
187,10
188,10
189,4
190,1
191,5
192,10
193,8
194,1
195,4
196,9
197,3
198,4
199,6
200,4
201,0
202,2
203,3
204,1
205,0
206,0
